"","analytic$EDGROUP","mean","sd"
"1",1,7.16037735849057,2.20536178962235
"2",2,7.07871657754011,1.69583683927824
"3",3,6.9612720592664,1.60595540284889
"4",4,7.11234573971188,1.39904807951735
"5",9,7.1743119266055,1.75247991850516
