"","analytic$MARGRP","mean","sd"
"1",1,7.06644306464131,1.49278454895759
"2",2,7.07231531103724,1.75274376646568
"3",3,6.79171094580234,1.97192403757746
"4",9,6.84013050570962,1.65336159214581
