"","analytic$GENHLTH2","mean","sd"
"1",1,7.0884076433121,1.3697608392438
"2",2,7.10799361493124,1.32992994208208
"3",3,7.06463185467798,1.50340620936249
"4",4,6.96059423391666,1.88790187968817
"5",5,6.92984097287184,2.53110495049061
"6",9,7.15555555555556,2.04379901846065
