"","analytic$BMICAT","mean","sd"
"1",1,7.14105263157895,2.18816796850825
"2",2,7.16961498439126,1.61811080235253
"3",3,7.0750698009547,1.50336796167247
"4",4,6.95866578678985,1.61905575453812
"5",9,6.91849255039439,1.77690342893974
