"","analytic$X_AGE_G","mean","sd"
"1",1,6.63761467889908,1.63912723931713
"2",2,6.43569731930777,1.4449110833195
"3",3,6.49185393258427,1.47411531076664
"4",4,6.63117685305592,1.46159529831613
"5",5,6.82215643857452,1.64250256056809
"6",6,7.35363851306975,1.54214241875426
