"","analytic$RACEGRP","mean","sd"
"1",1,7.11458808502874,1.50438471020968
"2",2,6.80393132620055,1.95300039014434
"3",3,6.73212583412774,1.84869650782485
"4",4,6.48453608247423,1.48854537732248
"5",5,6.596875,1.93709610007879
"6",6,6.7641073080481,1.96330222710097
"7",9,7.05456349206349,1.69817911943491
